Order,Filename,Entry,Chapter directory,Included in GitHub,Alt Text,Artist,Artist Contact/Portfolio,Rights,File path,Width,Alignment
-1,Free5e Logo.png,,00_Cover,FALSE,"A logo featuring a coiling, serpentine dragon outline rendered in blue scale pattern, with a stylized gold wordmark ""Free5e"" centered within its body. The dragon's head has gold accents on its eyes and horn.",Duofocus,https://www.instagram.com/duofocusp/,"Free5e Logo.png © 2025 Wyrmworks Publishing by Duofocus (https://www.instagram.com/duofocusp/) is licensed under Creative Commons Attribution 4.0 International. To view a copy of this license, visit https://creativecommons.org/licenses/by/4.0/",assets/images/Characters_Codex/00_Cover/Free5e Logo.png,full,center
0,Free5e_Playerbook.png,Cover,00_Cover,TRUE,"A party of adventurers confronting a massive, blue dragon looming in the foreground. The foreground is a pile of skulls, and the 3 adventurers look hesitant.",Danilo E. Valdez Jr.,https://daniloevaldez.artstation.com/,"Free5e_Playerbook.png © 2025 Wyrmworks Publishing by Danilo E. Valdez Jr. (https://daniloevaldez.artstation.com/) is licensed under Creative Commons Attribution 4.0 International. To view a copy of this license, visit https://creativecommons.org/licenses/by/4.0/",assets/images/Characters_Codex/00_Cover/Free5e_Playerbook.png,full,center
1,GroupTable_venom-for-free.png,How to Play,02_How_to_Play,TRUE,A diverse group of people sitting around a table. In front of them is a battle map with minis and dice as the DM is smiling behind her home screen while the group engages in active conversation.,Venom For Free,https://bsky.app/profile/venom-for-free.bsky.social,"GroupTable_venom-for-free.png © 2025 Wyrmworks Publishing by Venom For Free (https://bsky.app/profile/venom-for-free.bsky.social) is licensed under Creative Commons Attribution 4.0 International. To view a copy of this license, visit https://creativecommons.org/licenses/by/4.0/",assets/images/Characters_Codex/02_How_to_Play/GroupTable_venom-for-free.png,full,center
2,dice-160388_2.png,Determine Ability Scores,03_Creating_a_Character,TRUE,set of 7 TTRPG dice,Public Domain,,"dice-160388_2.png CC0 1.0 Universal. To view a copy of this mark, visit https://creativecommons.org/publicdomain/zero/1.0/",assets/images/Characters_Codex/03_Creating_a_Character/dice-160388_2.png,full,center
3,PaolaHikari_Adept.png,Adept,03_Creating_a_Character,TRUE,"a young male elf dressed in simple clothing standing on one leg, in a meditative pose, with his eyes closed",Paola Recalcati,https://hikari_illustrations.artstation.com/,"PaolaHikari_Adept.png © 2025 Wyrmworks Publishing by Paola Recalcati (https://hikari_illustrations.artstation.com/) is licensed under Creative Commons Attribution 4.0 International. To view a copy of this license, visit https://creativecommons.org/licenses/by/4.0/",assets/images/Characters_Codex/03_Creating_a_Character/PaolaHikari_Adept.png,half,right
4,Roselysium_Bard_Greyscale.png,Bard,03_Creating_a_Character,TRUE,a young bard playing the panflute. Magical music notes swirl around them.,Roselysium,https://roselysium.carrd.co/,"Roselysium_Bard_Greyscale.png © 2025 Wyrmworks Publishing by Roselysium (https://roselysium.carrd.co/) is licensed under Creative Commons Attribution 4.0 International. To view a copy of this license, visit https://creativecommons.org/licenses/by/4.0/",assets/images/Characters_Codex/03_Creating_a_Character/Roselysium_Bard_Greyscale.png,half,right
5,Roselysium_Cleric_UPDATED_Greyscale.png,Cleric,03_Creating_a_Character,TRUE,a black cleric. She is holding a spiked mace in one hand as her holy symbol is engulfed and floating in her other hand.,Roselysium,https://roselysium.carrd.co/,"Roselysium_Cleric_UPDATED_Greyscale.png © 2025 Wyrmworks Publishing by Roselysium (https://roselysium.carrd.co/) is licensed under Creative Commons Attribution 4.0 International. To view a copy of this license, visit https://creativecommons.org/licenses/by/4.0/",assets/images/Characters_Codex/03_Creating_a_Character/Roselysium_Cleric_UPDATED_Greyscale.png,half,left
6,Orc_woman_-_Adrian_Arduini_Adventures_2.png,Dreadnought,03_Creating_a_Character,TRUE,"rugged orc woman wearing mesh bikini, spiked bracers, other hide and spiked accessories, leaning confidently on large axe",Adrian Arduini,https://legacy.drivethrurpg.com/browse/pub/16116/Adrian-Arduini,"Orc_woman_-_Adrian_Arduini_Adventures_2.png © 2025 Wyrmworks Publishing by Adrian Arduini (https://legacy.drivethrurpg.com/browse/pub/16116/Adrian-Arduini) is licensed under Creative Commons Attribution 4.0 International. To view a copy of this license, visit https://creativecommons.org/licenses/by/4.0/",assets/images/Characters_Codex/03_Creating_a_Character/Orc_woman_-_Adrian_Arduini_Adventures_2.png,half,left
7,Warrior_with_Sword.png,Fighter,03_Creating_a_Character,TRUE,caped man wearing plate armor and spiked helm holding a sword,The Basic Expert,https://thebasicexpert.com/,"Warrior_with_Sword.png  © 2025 by The Basic Expert (https://thebasicexpert.com/) is licensed under Creative Commons Attribution 4.0 International. To view a copy of this license, visit https://creativecommons.org/licenses/by/4.0/",assets/images/Characters_Codex/03_Creating_a_Character/Warrior_with_Sword.png,half,right
8,Roselysium_Ranger_Screentone.png,Ranger,03_Creating_a_Character,TRUE,"a Ranger drawing their bow, aiming directly at the camera.",Roselysium,https://roselysium.carrd.co/,"Roselysium_Ranger_Screentone.png © 2025 Wyrmworks Publishing by Roselysium (https://roselysium.carrd.co/) is licensed under Creative Commons Attribution 4.0 International. To view a copy of this license, visit https://creativecommons.org/licenses/by/4.0/",assets/images/Characters_Codex/03_Creating_a_Character/Roselysium_Ranger_Screentone.png,half,left
9,PaolaHikari_Rogue.jpeg,Rogue,03_Creating_a_Character,TRUE,a woman looking warily behind her back. She wears many weapons and holds a knife in one hand and a ripped wanted poster with her face on it on the other.,Paola Recalcati,https://hikari_illustrations.artstation.com/,"PaolaHikari_Rogue.jpeg © 2025 Wyrmworks Publishing by Paola Recalcati (https://hikari_illustrations.artstation.com/) is licensed under Creative Commons Attribution 4.0 International. To view a copy of this license, visit https://creativecommons.org/licenses/by/4.0/",assets/images/Characters_Codex/03_Creating_a_Character/PaolaHikari_Rogue.jpeg,half,right
10,Roselysium_Sorcerer_Greyscale_2.png,Sorcerer,03_Creating_a_Character,TRUE,A draconic bloodline sorceress has her hands clasped together as if trying to contain the magic within her. Draconic scales dot her arms and wings sprout from her back.,Roselysium,https://roselysium.carrd.co/,"Roselysium_Sorcerer_Greyscale_2.png © 2025 Wyrmworks Publishing by Roselysium (https://roselysium.carrd.co/) is licensed under Creative Commons Attribution 4.0 International. To view a copy of this license, visit https://creativecommons.org/licenses/by/4.0/",assets/images/Characters_Codex/03_Creating_a_Character/Roselysium_Sorcerer_Greyscale_2.png,half,left
11,Vanguard_venom-for-free_2.png,Vanguard,03_Creating_a_Character,TRUE,"a non-binary, black half-elven character. They are raising a broad sword and stand in a defense position that can be turned into an attack, half-covered by the sword.",Venom For Free,https://bsky.app/profile/venom-for-free.bsky.social,"Vanguard_venom-for-free_2.png  © 2025 Wyrmworks Publishing by Venom For Free (https://bsky.app/profile/venom-for-free.bsky.social) is licensed under Creative Commons Attribution 4.0 International. To view a copy of this license, visit https://creativecommons.org/licenses/by/4.0/",assets/images/Characters_Codex/03_Creating_a_Character/Vanguard_venom-for-free_2.png,half,right
12,Warlock_venom-for-free_2.png,Warlock,03_Creating_a_Character,TRUE,"a female, black warlock, standing with her hands extended to the sides in a summoning pose. Most of her face and body are covered by a cloak. Her left leg is prosthetic.",Venom For Free,https://bsky.app/profile/venom-for-free.bsky.social,"Warlock_venom-for-free_2.png  © 2025 Wyrmworks Publishing by Venom For Free (https://bsky.app/profile/venom-for-free.bsky.social) is licensed under Creative Commons Attribution 4.0 International. To view a copy of this license, visit https://creativecommons.org/licenses/by/4.0/",assets/images/Characters_Codex/03_Creating_a_Character/Warlock_venom-for-free_2.png,half,right
13,Roselysium_Wizard_Greyscale.png,Wizard,03_Creating_a_Character,TRUE,"Fullbody artwork of a blind and obese wizard. She is wearing an oversized wizard hat and is using her staff as a cane. Her familiar, a black cat, is also present to offer aid as a guide animal.",Roselysium,https://roselysium.carrd.co/,"Roselysium_Wizard_Greyscale.png © 2025 Wyrmworks Publishing by Roselysium (https://roselysium.carrd.co/) is licensed under Creative Commons Attribution 4.0 International. To view a copy of this license, visit https://creativecommons.org/licenses/by/4.0/",assets/images/Characters_Codex/03_Creating_a_Character/Roselysium_Wizard_Greyscale.png,half,right
14,Wodewose_venom-for-free_2.png,Wodewose,03_Creating_a_Character,TRUE,an elderly Halfling woman. She is holding a wood grown wand and has her right foot elevated on a stone in a pose of readiness.,Venom For Free,https://bsky.app/profile/venom-for-free.bsky.social,"Wodewose_venom-for-free_2.png  © 2025 Wyrmworks Publishing by Venom For Free (https://bsky.app/profile/venom-for-free.bsky.social) is licensed under Creative Commons Attribution 4.0 International. To view a copy of this license, visit https://creativecommons.org/licenses/by/4.0/",assets/images/Characters_Codex/03_Creating_a_Character/Wodewose_venom-for-free_2.png,half,right
15,Roselysium_Dragonborn_Greyscale.png,Dragonborn,03_Creating_a_Character,TRUE,an androgynous dragonborn with soft features and their coiled hair in a ponytail.,Roselysium,https://roselysium.carrd.co/,"Roselysium_Dragonborn_Greyscale.png © 2025 Wyrmworks Publishing by Roselysium (https://roselysium.carrd.co/) is licensed under Creative Commons Attribution 4.0 International. To view a copy of this license, visit https://creativecommons.org/licenses/by/4.0/",assets/images/Characters_Codex/03_Creating_a_Character/Roselysium_Dragonborn_Greyscale.png,third,right
16,DnD_Dwarf_2.png,Dwarf,03_Creating_a_Character,TRUE,masculine dwarf holding an axe over his shoulder,Lady of Hats,https://commons.wikimedia.org/wiki/User:LadyofHats,"DnD_Dwarf_2.png by Lady of Hats (https://commons.wikimedia.org/wiki/User:LadyofHats) CC0 1.0 Universal. To view a copy of this mark, visit https://creativecommons.org/publicdomain/zero/1.0/",assets/images/Characters_Codex/03_Creating_a_Character/DnD_Dwarf_2.png,third,right
17,DnD_Elven_2.png,Elf,03_Creating_a_Character,TRUE,feminine elf wearing scale mail looking back toward the viewer over her shoulder,Lady of Hats,https://commons.wikimedia.org/wiki/User:LadyofHats,"DnD_Elven_2.png by Lady of Hats (https://commons.wikimedia.org/wiki/User:LadyofHats) CC0 1.0 Universal. To view a copy of this mark, visit https://creativecommons.org/publicdomain/zero/1.0/",assets/images/Characters_Codex/03_Creating_a_Character/DnD_Elven_2.png,third,right
18,Fiora.png,Gnome,03_Creating_a_Character,TRUE,"gnome with braided hair, rugged half shirt & loincloth, tribal tattoos, dagger on belt, bracelet, glowing daisy ring",Kalman Andrasofszky,https://iamkalman.artstation.com/,"Fiora.png © 2025 Wyrmworks Publishing by Kalman Andrasofszky (https://iamkalman.artstation.com/) is licensed under Creative Commons Attribution 4.0 International. To view a copy of this license, visit https://creativecommons.org/licenses/by/4.0/",assets/images/Characters_Codex/03_Creating_a_Character/Fiora.png,third,right
